Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run, Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
T Martin,P,11,9,4.92,376,0,0,0,3,8,316.2,339,181,173,36,13,143,224,1.52,0.275
R Birkofer,P,31,28,4.19,132,63,24,2,2,--,544,618,316,253,24,17,175,224,1.46,0.282
B Houck,P,26,24,3.3,118,50,17,1,3,--,531.1,462,253,195,8,20,274,224,1.39,0.234
M Anderson,P,15,7,5.19,257,0,0,0,26,33,256.2,249,167,148,30,11,157,224,1.58,0.258
O Despaigne,P,13,26,5.11,109,50,0,0,1,4,363,396,226,206,36,21,130,224,1.45,0.28
M Perez,P,24,16,3.56,313,0,0,0,22,22,346,334,148,137,26,14,120,224,1.31,0.258
J Cooney,CF,34,44,3.72,159,75,44,7,6,--,795.1,858,409,329,41,19,223,224,1.36,0.278
D Warthen,P,12,21,4.31,83,41,5,1,3,3,307,253,163,147,26,3,198,224,1.47,0.229
B Burres,P,18,25,5.75,106,56,0,0,0,1,358.1,422,239,229,45,17,160,224,1.62,0.291
J Coleman,RF,23,72,4.68,107,93,84,4,0,--,842.2,1182,772,438,30,6,102,224,1.52,1.957
C Peters,P,19,25,4.81,136,49,1,0,2,3,379.2,420,223,203,54,14,157,224,1.52,0.282
P Borbon,P,16,16,4.68,368,0,0,0,6,16,271,259,154,141,33,16,134,224,1.45,0.252
B Stoddard,P,18,27,4.03,119,45,5,2,3,3,433.1,437,222,194,56,14,160,223,1.38,0.266
T Mayza,P,17,6,4.03,249,0,0,0,3,11,205.2,187,98,92,26,7,69,223,1.24,0.24
G Zuverink,P,32,36,3.54,265,31,9,2,40,--,642.1,660,296,253,56,27,203,223,1.34,0.271
M Holtz,P,16,20,4.76,353,0,0,0,3,8,240,245,146,127,25,15,131,223,1.57,0.266
M Kopech,P,10,13,3.64,73,33,0,0,0,1,203,159,88,82,28,9,83,223,1.19,0.213
J Black,P,30,12,3.91,172,16,2,0,25,--,414,391,200,180,53,2,129,222,1.26,0.248
T Yates,P,12,17,5.12,239,7,0,0,4,14,248,253,154,141,26,9,135,222,1.56,0.263
R Baumgarten,P,22,36,4,90,84,10,6,0,0,495.1,492,246,220,43,4,211,222,1.42,0.263
C Willis,P,22,16,4.25,267,2,0,0,13,13,390,424,210,184,28,2,115,222,1.38,0.279
R Pinto,P,8,10,3.62,244,0,0,0,2,13,231,186,100,93,24,14,152,222,1.46,0.225
D Frost,P,33,37,4.1,99,84,16,3,1,1,550.2,571,277,251,41,14,174,222,1.35,0.271
J Shellenback,P,16,30,3.81,165,48,8,2,2,3,454,443,228,192,40,8,200,222,1.42,0.258
W Lopez,P,16,17,3.54,292,2,0,0,11,28,305.1,337,131,120,27,7,57,221,1.29,0.284
T Hughes,P,31,56,3.99,144,87,31,5,3,--,688,698,359,305,33,5,308,221,1.46,0.266
J De Jesus,P,20,19,3.84,63,57,6,1,1,1,349,284,165,149,20,6,227,221,1.46,0.226
A Vizca?no,P,13,11,3.11,213,0,0,0,50,63,200,164,77,69,19,6,97,221,1.31,0.218
M Armstrong,P,19,17,4.1,197,1,0,0,11,11,338,300,170,154,42,6,155,221,1.35,0.24
C Holmes,P,17,13,4.2,179,4,0,0,20,29,212,178,112,99,14,24,108,221,1.35,0.224
H Takahashi,P,14,12,3.99,168,12,0,0,10,14,243.1,226,115,108,29,0,84,221,1.27,0.247
B Narum,P,14,27,4.45,96,58,9,2,0,--,396.2,398,218,196,50,12,177,220,1.45,0.264
J Duckworth,P,7,25,5.26,97,29,2,0,4,--,267,256,180,156,37,17,148,220,1.51,0.253
B Oberholtzer,P,14,23,4.36,82,44,2,1,1,1,324,365,167,157,41,6,87,220,1.4,0.282
M Huismann,P,13,11,4.4,152,1,0,0,11,11,296.1,305,163,145,37,5,83,219,1.31,0.266
M Wright Jr.,P,10,13,5.97,123,23,0,0,1,2,276,321,196,183,45,28,110,219,1.56,0.292
M Acosta,P,13,13,3.99,233,0,0,0,9,17,248,234,122,110,30,8,117,219,1.42,0.251
D Rasmussen,P,16,8,3.03,75,38,0,0,1,1,237.1,195,88,80,21,3,65,219,1.1,0.22
B Rivera,P,23,17,4.52,67,49,5,2,0,0,318.1,314,168,160,32,11,152,219,1.46,0.258
A Sampson,P,11,19,4.43,72,44,1,0,0,0,292.2,319,158,144,55,19,76,219,1.35,0.276
L Ondrusek,P,21,11,4.03,288,0,0,0,2,13,277,267,132,124,35,7,114,218,1.38,0.251
B Daley,P,29,16,3.49,62,43,33,2,4,--,409.2,399,283,159,14,18,291,218,1.68,0.245
M Wilkins,P,19,14,4.28,245,2,0,0,3,3,294.2,278,150,140,23,23,155,218,1.47,0.256
B Landrum,P,18,15,3.39,268,2,0,0,58,58,361.1,360,151,136,18,2,124,218,1.34,0.265
D Carpenter,P,11,11,3.69,222,0,0,0,4,11,214.2,214,96,88,22,13,78,218,1.36,0.261
M Bush,P,12,9,3.44,206,6,0,0,14,29,201.2,171,95,77,28,10,66,217,1.18,0.223
L Demery,P,29,23,3.72,139,46,7,1,7,7,445.1,413,202,184,40,5,199,217,1.37,0.249
B Steele,P,16,38,3.05,91,57,28,4,3,--,487.2,450,219,165,10,13,144,217,1.22,0.249
A Otsuka,P,13,15,2.44,236,0,0,0,39,57,232,190,71,63,12,2,80,217,1.16,0.222
R Fontenot,P,25,26,4.03,145,62,3,1,2,2,493.2,551,253,221,42,6,153,216,1.43,0.287
N Andrews,P,41,54,3.46,127,97,50,5,2,--,773.1,798,350,297,40,9,236,216,1.34,0.265
W Franklin,P,14,16,5.54,143,40,1,1,0,4,323,332,215,199,57,18,168,216,1.55,0.268
F Mitchell,P,31,50,4.1,97,86,71,2,1,--,718.1,806,470,327,16,53,303,216,1.54,0.286
J Mateo,P,18,12,3.68,219,1,0,0,2,12,318.1,298,136,130,45,21,85,216,1.2,0.247
